X, Z, P
4.96795000e-04, -6.34512000e-04, 1.57191000e+01
5.03205000e-04, -6.25577000e-04, 1.57195000e+01
5.09615000e-04, -6.16438000e-04, 1.57198000e+01
5.16025000e-04, -6.07103000e-04, 1.57202000e+01
5.22435000e-04, -5.97583000e-04, 1.57205000e+01
5.28845000e-04, -5.87885000e-04, 1.57209000e+01
5.35255000e-04, -5.78023000e-04, 1.57213000e+01
5.41665000e-04, -5.68005000e-04, 1.57218000e+01
5.48075000e-04, -5.57842000e-04, 1.57222000e+01
5.54485000e-04, -5.47547000e-04, 1.57227000e+01
5.60895000e-04, -5.37130000e-04, 1.57232000e+01
5.67305000e-04, -5.26598000e-04, 1.57237000e+01
5.73715000e-04, -5.15963000e-04, 1.57242000e+01
5.80125000e-04, -5.05238000e-04, 1.57247000e+01
